"teacher" "v1" "v2" "v3" "v4" "v5" "v6"
"88" 30 2 2 3 2 2 3
"89" 30 1 1 1 1 1 1
"90" 30 1 1 1 1 1 1
"91" 30 1 1 1 2 5 1
"92" 30 1 1 2 2 1 1
"93" 30 1 1 1 1 1 3
"94" 30 1 1 2 2 1 1
"95" 30 2 5 3 2 1 5
"96" 30 1 1 1 1 1 2
"97" 30 2 1 3 2 1 4
"98" 30 1 1 1 2 1 2
"99" 30 1 2 2 2 2 2
"100" 30 1 1 1 1 1 2
"101" 30 1 1 1 3 1 2
"102" 30 4 1 2 2 1 2
"103" 30 1 1 1 1 1 2
"104" 30 1 1 2 2 1 3
"105" 30 1 1 2 3 1 2
"106" 36 1 1 1 2 1 2
"107" 36 1 2 1 1 1 2
"108" 36 1 1 1 4 1 1
"109" 36 1 1 1 1 1 1
"110" 36 1 1 1 1 1 3
"111" 36 1 1 1 1 1 1
"112" 36 1 1 1 2 1 1
"113" 36 1 1 3 3 4 3
"114" 36 1 1 1 3 1 1
"115" 36 2 2 4 3 3 2
"116" 36 1 1 2 3 2 3
"117" 36 2 1 2 3 3 5
"118" 36 1 1 1 1 1 1
"119" 36 1 1 1 1 1 1
"120" 36 1 1 1 2 2 2
"121" 36 1 1 1 5 1 1
"122" 36 1 1 2 1 2 2
"123" 36 1 3 4 3 2 1
"124" 36 3 3 3 5 3 2
"125" 36 1 1 1 2 1 1
"126" 36 1 1 1 2 1 1
"127" 36 1 1 3 2 1 2
"128" 36 1 1 1 1 1 1
"129" 36 1 1 1 3 1 1
"130" 36 1 1 1 1 1 1
"131" 36 1 1 1 3 1 1
"132" 36 1 1 3 3 1 1
"133" 36 1 1 1 1 1 1
"134" 36 2 1 5 3 1 2
"135" 33 1 3 2 1 2 3
"136" 33 2 3 3 2 3 5
"137" 33 2 1 1 1 2 1
"138" 33 2 1 1 2 2 2
"139" 33 1 3 1 1 3 4
"140" 33 1 1 1 1 1 3
"141" 33 1 1 1 1 1 2
"142" 33 2 3 4 3 4 3
"143" 33 2 2 1 2 2 3
"144" 33 1 2 1 1 2 5
"145" 33 2 3 5 3 3 4
"146" 33 1 3 5 1 1 5
"147" 33 1 1 1 1 1 3
"148" 33 2 2 1 3 2 2
"149" 33 3 1 5 3 3 5
"150" 33 1 1 1 1 1 1
"151" 33 2 2 1 5 2 2
"152" 33 5 5 5 5 5 5
"153" 33 2 2 3 2 2 5
"154" 33 1 2 1 1 2 5
"155" 40 1 1 3 1 1 1
"156" 40 1 1 1 1 1 1
"157" 40 1 1 5 1 2 1
"158" 40 1 1 1 1 1 1
"159" 40 1 1 1 1 1 1
"160" 40 1 1 2 4 2 1
"161" 40 1 1 2 3 1 2
"162" 40 1 1 1 3 1 1
"163" 40 1 1 1 5 1 1
"164" 40 1 1 2 1 1 1
"165" 40 1 1 1 1 1 2
"166" 40 1 1 1 3 1 1
"167" 40 1 1 1 1 1 1
"168" 40 1 1 1 5 1 1
"169" 40 1 1 1 4 1 1
"170" 40 1 1 1 2 1 1
"171" 40 1 1 1 1 1 2
"172" 40 1 1 1 1 1 1
"173" 40 1 1 1 1 1 1
"174" 40 1 1 1 1 1 1
"175" 40 1 1 1 5 1 2
"176" 37 1 1 2 1 1 1
"177" 37 2 1 1 1 1 2
"178" 37 1 1 1 3 1 1
"179" 37 1 2 1 1 1 3
"180" 37 1 1 1 1 1 1
"181" 37 1 1 2 1 1 1
"182" 37 1 1 1 1 1 1
"183" 37 1 1 1 1 1 1
"184" 37 1 2 1 1 1 2
"185" 37 1 1 1 3 4 1
"186" 37 1 1 1 1 1 2
"187" 37 1 1 2 3 1 1
"188" 37 1 1 1 1 1 1
"189" 37 1 1 1 1 1 1
"190" 37 1 1 1 1 1 1
"191" 37 1 1 1 1 1 1
"192" 37 1 1 1 4 1 1
"193" 37 2 2 2 5 2 1
"194" 37 1 1 2 1 2 1
"195" 37 1 1 1 2 1 1
"196" 37 1 1 2 1 2 1
"197" 42 1 3 1 1 1 1
"198" 42 1 3 2 2 2 2
"199" 42 1 1 1 1 1 1
"200" 42 1 1 2 1 1 1
"201" 42 1 1 1 2 1 2
"202" 42 1 1 1 1 2 3
"203" 42 1 1 1 1 1 1
"204" 42 1 1 1 1 1 1
"205" 42 2 2 4 4 3 3
"206" 42 1 1 1 1 1 1
"207" 42 1 1 1 1 1 1
"208" 42 1 1 1 1 1 1
"209" 42 1 1 1 1 1 1
"210" 42 1 1 2 2 1 1
"211" 42 1 1 1 1 1 3
"212" 42 1 1 2 1 1 2
"213" 42 1 1 1 1 1 1
"214" 42 1 1 1 1 1 1
"215" 42 1 1 1 1 1 2
"216" 42 1 1 1 1 1 1
"217" 42 1 1 1 2 1 2
"218" 42 1 1 1 1 1 1
"219" 43 1 1 2 2 1 2
"220" 43 1 1 1 1 1 1
"221" 43 1 1 1 1 1 1
"222" 43 1 1 2 2 1 1
"223" 43 1 1 1 1 1 1
"224" 43 2 2 2 3 2 2
"225" 43 2 1 2 2 1 3
"226" 43 1 1 1 1 1 1
"227" 43 1 1 1 1 1 1
"228" 43 1 1 2 2 2 2
"229" 43 2 2 2 5 3 3
"230" 43 1 1 1 1 1 5
"231" 43 2 2 3 3 1 4
"232" 43 1 2 3 1 2 3
"233" 43 1 2 2 2 3 3
"234" 43 1 1 2 1 1 3
"235" 43 1 1 1 1 1 3
"236" 43 1 1 2 2 1 1
"237" 43 1 1 2 2 1 2
"238" 43 1 1 1 2 1 1
"239" 43 1 1 1 1 1 1
"240" 43 1 1 1 3 2 2
"241" 43 1 1 1 1 1 1
"242" 43 1 1 1 2 1 3
"243" 43 1 1 1 1 1 1
"244" 43 1 1 1 1 1 2
"245" 45 1 1 1 1 1 1
"246" 45 1 1 2 1 1 1
"247" 45 1 1 1 1 1 1
"248" 45 1 1 1 1 1 1
"249" 45 1 1 1 1 1 1
"250" 45 1 2 3 3 3 3
"251" 45 1 1 1 1 1 1
"252" 45 1 2 1 1 1 1
"253" 45 1 1 1 2 1 2
"254" 45 1 1 1 1 5 1
"255" 45 1 1 1 2 1 1
"256" 45 1 1 1 1 1 1
"257" 45 1 1 1 1 1 1
"258" 45 1 1 1 2 1 1
"259" 45 1 1 1 2 2 3
"260" 45 1 1 1 1 1 1
"261" 45 1 2 3 3 3 1
"262" 45 1 1 1 1 1 1
"263" 45 1 1 1 1 1 1
"264" 45 1 1 1 1 4 2
"265" 45 1 1 1 1 1 1
"266" 45 1 1 1 1 1 1
"267" 45 1 1 2 1 1 1
"268" 45 1 1 2 1 1 1
"269" 45 1 2 2 2 2 1
"270" 45 1 1 1 1 1 1
"271" 45 1 1 1 1 1 2
"272" 45 1 1 1 1 1 1
"273" 34 1 1 1 1 1 1
"274" 34 1 1 1 1 1 3
"275" 34 1 1 1 1 1 1
"276" 34 2 1 2 1 1 2
"277" 34 1 2 2 2 4 2
"278" 34 1 1 1 1 1 1
"279" 34 1 1 1 1 1 3
"280" 34 1 1 2 2 1 1
"281" 34 2 1 1 1 1 1
"282" 34 1 1 1 1 1 1
"283" 34 1 1 1 3 1 1
"284" 34 1 1 1 1 1 1
"285" 34 1 1 1 1 1 1
"286" 34 1 1 2 2 2 1
"287" 34 1 1 2 3 2 2
"288" 34 1 1 1 5 1 1
"289" 34 1 2 3 5 2 2
"290" 34 1 1 1 1 1 2
"291" 34 2 2 2 2 2 2
"292" 34 1 1 1 4 1 1
"293" 34 1 1 1 2 4 2
"294" 34 1 1 1 3 1 1
"295" 34 1 1 1 3 1 1
"296" 34 1 1 1 1 4 1
"297" 34 1 1 1 3 1 2
"298" 34 1 1 2 3 1 1
"299" 34 1 1 1 3 1 1
"300" 32 1 1 2 1 1 1
"301" 32 1 1 1 2 5 1
"302" 32 1 1 1 1 1 2
"303" 32 1 1 1 1 1 1
"304" 32 1 1 1 3 1 1
"305" 32 1 1 1 1 1 1
"306" 32 1 1 1 1 1 1
"307" 32 1 1 1 1 1 1
"308" 32 1 1 1 1 1 2
"309" 32 1 1 1 1 1 1
"310" 32 1 1 1 1 1 1
"311" 32 1 1 1 1 1 1
"312" 32 1 1 1 2 1 2
"313" 32 1 1 1 1 1 1
"314" 32 1 2 3 1 1 2
"315" 32 1 1 1 1 1 1
"316" 32 1 1 1 2 1 1
"317" 32 1 1 2 2 1 2
"318" 32 1 1 2 2 1 3
"319" 32 1 1 1 1 1 1
"320" 32 1 1 1 1 1 1
"321" 32 1 1 1 1 1 1
"322" 32 1 1 1 1 1 1
"323" 31 1 1 1 1 1 1
"324" 31 1 1 1 1 1 1
"325" 31 1 1 1 1 1 1
"326" 31 1 1 1 1 1 2
"327" 31 1 1 1 1 1 1
"328" 31 1 1 1 1 1 1
"329" 31 1 1 1 3 5 3
"330" 31 1 1 2 1 1 1
"331" 31 1 1 1 1 1 1
"332" 31 1 1 1 1 1 1
"333" 31 1 1 2 2 1 2
"334" 31 1 1 1 1 1 1
"335" 31 1 1 1 2 1 1
"336" 31 1 1 1 3 1 1
"337" 31 1 2 1 3 3 1
"338" 31 1 1 3 1 1 1
"339" 31 1 1 1 1 1 1
"340" 31 1 1 1 1 1 1
"341" 31 1 1 1 3 1 1
"342" 31 1 1 1 2 1 3
"344" 31 1 1 2 1 1 1
"345" 31 1 1 1 1 5 1
"346" 31 1 1 3 2 1 1
"347" 31 1 1 1 3 1 1
"348" 44 1 1 1 1 1 1
"349" 44 1 1 1 1 1 1
"350" 44 1 1 1 1 1 1
"351" 44 1 1 2 1 1 2
"352" 44 1 1 3 4 2 1
"353" 44 1 1 1 1 1 1
"354" 44 1 1 1 1 1 1
"355" 44 1 1 1 2 1 1
"356" 44 1 2 2 1 2 2
"357" 44 1 1 1 1 1 1
"358" 44 1 1 2 2 2 2
"359" 44 1 1 1 1 1 2
"360" 44 1 2 2 2 2 2
"361" 44 1 1 2 2 2 2
"362" 44 1 1 1 1 1 1
"363" 44 1 1 1 1 1 1
"364" 44 1 1 1 1 1 1
"365" 44 1 1 1 1 1 1
"366" 44 1 1 1 3 1 1
"367" 44 1 1 1 1 1 1
"368" 44 1 1 1 2 2 2
"369" 44 1 1 1 3 1 1
"370" 17 1 4 1 1 1 1
"371" 17 1 1 1 1 1 1
"372" 17 1 1 2 1 1 1
"373" 17 2 2 3 3 2 2
"374" 17 1 1 1 1 1 1
"375" 17 1 1 1 1 1 1
"376" 17 1 1 1 1 1 1
"377" 17 1 1 1 1 1 1
"378" 17 1 1 1 1 1 1
"379" 17 2 2 1 5 2 3
"380" 17 1 1 1 1 1 1
"381" 17 1 1 1 1 1 1
"382" 17 1 1 1 1 1 1
"383" 17 1 1 1 1 1 1
"384" 21 1 2 2 1 1 1
"385" 23 1 1 1 2 1 1
"386" 21 1 1 1 1 1 1
"387" 22 2 1 2 2 1 2
"388" 21 1 2 2 3 3 1
"389" 23 2 2 1 2 2 1
"390" 23 1 1 1 2 1 1
"391" 22 1 1 1 2 1 1
"392" 23 1 1 2 3 1 1
"393" 21 1 1 1 1 5 1
"394" 21 1 2 1 1 1 5
"395" 22 1 1 1 1 1 1
"396" 21 1 1 1 1 1 1
"397" 21 1 1 1 3 1 1
"398" 22 1 1 1 1 1 1
"399" 6 2 1 1 1 1 1
"400" 6 1 1 1 1 1 1
"401" 6 1 1 1 1 1 1
"402" 6 1 1 1 1 1 3
"403" 6 1 1 1 1 1 1
"404" 6 1 1 1 2 1 1
"405" 6 2 2 1 3 1 1
"406" 6 1 1 1 1 1 2
"407" 6 1 1 1 1 1 1
"408" 6 1 1 1 1 1 1
"409" 6 1 1 1 1 1 2
"410" 6 1 1 1 1 1 1
"411" 6 1 1 1 1 1 1
"412" 6 2 1 2 2 2 3
"413" 6 1 1 1 2 1 1
"414" 6 2 1 1 3 2 1
"415" 6 3 2 3 4 3 5
"416" 6 1 1 1 1 1 1
"418" 13 2 1 2 1 1 4
"419" 13 2 2 2 3 2 2
"420" 13 2 2 1 3 1 3
"421" 13 1 1 1 1 1 1
"422" 13 1 1 2 4 1 1
"423" 13 2 2 2 3 2 2
"424" 13 1 1 1 1 1 2
"425" 13 1 1 1 1 1 1
"426" 13 1 1 3 3 1 1
"427" 13 1 1 1 2 1 1
"428" 13 1 1 1 3 1 3
"429" 13 1 1 1 2 1 1
"430" 13 1 1 1 2 1 1
"431" 13 1 1 1 1 1 1
"432" 15 1 1 1 1 1 1
"433" 15 1 1 1 1 1 1
"434" 15 2 3 3 3 3 3
"435" 15 5 5 5 5 5 5
"436" 15 1 1 1 1 1 3
"437" 15 1 1 1 1 1 1
"438" 15 1 1 1 1 1 1
"439" 15 3 1 3 4 5 4
"440" 15 1 1 1 1 1 1
"441" 15 1 1 3 1 1 4
"442" 15 5 5 5 5 5 5
"443" 15 1 1 1 1 1 1
"444" 15 1 1 1 4 1 1
"445" 15 1 1 1 3 5 1
"446" 15 1 1 1 1 2 2
"447" 15 1 3 1 3 1 4
"448" 11 1 1 3 3 1 1
"449" 11 1 1 1 1 1 2
"450" 11 1 1 1 1 1 1
"451" 11 1 1 1 1 1 2
"452" 11 1 1 1 2 2 1
"453" 11 1 2 1 4 2 3
"454" 11 1 1 1 2 1 1
"455" 11 1 1 1 1 1 1
"456" 11 2 2 2 2 2 1
"457" 11 1 1 1 1 1 1
"458" 11 1 1 1 2 1 1
"459" 11 1 1 1 1 1 1
"460" 11 1 1 1 2 2 1
"461" 11 1 1 2 2 1 1
"462" 11 2 2 2 2 2 2
"463" 11 1 1 1 1 1 1
"464" 20 1 1 1 1 1 3
"465" 20 1 1 1 3 1 3
"466" 20 1 1 1 1 1 1
"467" 20 1 1 1 1 1 1
"468" 24 1 1 1 1 1 1
"469" 20 1 1 1 1 1 2
"470" 24 1 1 1 1 1 1
"471" 24 1 2 2 2 1 2
"472" 24 1 1 1 3 1 1
"473" 20 2 1 2 3 3 2
"474" 24 2 1 1 1 1 1
"475" 24 1 1 1 1 1 2
"476" 24 1 1 1 1 1 1
"477" 20 1 1 1 1 1 1
"478" 24 1 1 1 1 1 1
"479" 20 1 1 1 3 1 1
"480" 20 1 1 1 1 2 3
"481" 19 3 4 5 5 4 5
"482" 19 2 1 2 2 2 2
"483" 19 2 1 1 1 3 3
"484" 19 1 1 1 1 1 1
"485" 19 1 1 1 1 1 1
"486" 19 2 1 2 1 3 3
"487" 19 1 1 1 2 1 1
"488" 19 1 1 1 1 1 1
"490" 19 1 1 1 1 1 2
"491" 19 1 1 1 1 1 1
"492" 19 1 1 1 1 1 1
"493" 19 1 1 1 1 1 1
"494" 19 1 1 1 3 1 1
"495" 19 1 1 1 1 1 1
"496" 19 1 1 1 1 1 1
"497" 19 1 1 3 1 1 1
"498" 16 1 1 1 1 1 1
"499" 16 1 1 1 3 1 1
"500" 16 1 1 1 3 2 1
"501" 16 1 1 2 2 1 1
"502" 16 1 1 1 1 1 1
"504" 16 1 1 1 1 1 1
"505" 16 1 1 1 2 1 1
"506" 16 1 1 1 3 5 1
"507" 16 1 1 1 1 1 1
"508" 16 1 2 2 2 2 1
"509" 16 1 1 1 1 1 1
"510" 16 1 1 1 1 1 1
"511" 16 1 1 1 2 1 1
"512" 16 1 1 1 1 1 1
"513" 16 1 1 1 1 1 1
"514" 16 1 1 1 1 1 1
"515" 16 3 1 1 3 1 1
"516" 9 2 2 4 3 3 3
"517" 9 2 1 1 1 1 3
"518" 9 1 1 1 5 1 1
"519" 9 1 1 1 1 1 2
"520" 9 1 1 1 1 1 1
"521" 9 1 5 1 1 1 1
"522" 9 1 1 2 2 1 2
"523" 9 1 1 1 1 1 1
"524" 9 2 2 2 3 2 2
"525" 9 1 1 1 4 1 1
"526" 9 1 1 2 3 2 2
"527" 9 1 1 1 1 1 2
"528" 9 1 3 1 1 1 1
"529" 9 1 1 1 1 1 1
"530" 9 1 1 1 1 1 1
"531" 9 1 1 1 1 1 1
"532" 9 1 1 1 2 1 2
"533" 9 1 1 1 1 1 1
"534" 9 1 1 1 3 1 5
"535" 9 1 1 2 1 1 3
"536" 9 2 1 3 3 2 2
"537" 9 1 3 2 1 2 1
"538" 9 1 1 1 2 1 1
"539" 5 1 1 2 2 2 2
"540" 5 1 1 1 2 1 1
"541" 5 1 1 1 1 1 1
"542" 5 1 1 1 2 1 1
"543" 5 3 1 2 3 1 3
"544" 5 2 2 2 1 1 1
"545" 5 1 1 1 5 1 1
"546" 5 1 1 2 3 3 1
"547" 5 1 1 1 3 1 1
"548" 5 1 1 1 1 1 1
"549" 5 1 1 1 1 1 1
"550" 5 1 1 2 2 1 1
"551" 5 1 1 1 1 1 1
"552" 5 4 1 1 4 3 5
"553" 5 4 1 1 3 2 4
"554" 5 1 1 1 1 1 1
"555" 5 1 1 1 5 1 1
"556" 5 1 1 1 2 1 1
"557" 5 3 3 2 3 2 3
"558" 5 1 1 1 1 1 1
"559" 5 1 1 1 1 1 1
"561" 5 1 1 1 1 1 1
"562" 5 1 1 1 1 1 1
"563" 5 1 2 2 2 2 2
"564" 5 4 2 2 5 2 2
"565" 5 1 1 1 3 2 3
"566" 5 1 1 2 1 1 1
"567" 25 1 1 1 1 1 1
"568" 8 1 1 1 1 1 1
"569" 25 1 1 2 2 1 1
"570" 25 1 1 2 2 1 1
"571" 25 2 2 2 1 2 2
"572" 25 1 1 1 1 2 1
"573" 8 1 1 1 2 1 1
"574" 25 1 1 1 2 1 1
"575" 25 2 2 2 2 2 2
"576" 25 1 1 1 1 1 1
"577" 8 1 1 1 1 1 2
"578" 25 1 1 1 1 1 1
"579" 25 1 1 2 3 1 2
"580" 25 1 1 2 1 1 1
"581" 25 1 1 2 2 1 1
"582" 25 1 1 1 1 1 1
"584" 25 1 1 1 1 1 1
"585" 8 1 2 2 2 2 1
"586" 25 4 1 1 2 2 2
"587" 25 1 1 1 2 1 1
"588" 8 1 1 1 2 1 1
"589" 25 1 1 1 1 4 2
"590" 8 1 1 1 1 1 2
"591" 25 1 1 1 1 1 1
"592" 25 1 1 1 3 1 1
"593" 25 1 5 1 1 1 2
"594" 4 1 1 2 2 1 1
"595" 4 1 1 1 3 1 2
"596" 4 2 2 2 4 2 2
"597" 4 1 1 1 1 1 1
"598" 4 1 1 1 3 1 1
"599" 4 1 1 1 1 1 1
"600" 4 1 2 3 3 2 2
"601" 4 1 1 1 1 1 1
"603" 4 1 1 1 1 1 1
"604" 4 1 1 1 1 1 1
"605" 4 3 1 4 3 3 3
"606" 4 1 1 1 2 1 1
"607" 4 1 1 1 1 1 1
"608" 4 1 1 1 1 1 1
"609" 4 2 2 3 3 1 2
"610" 4 1 1 1 1 1 1
"611" 4 1 1 1 1 1 1
"612" 4 1 1 1 2 1 1
"613" 4 1 1 1 1 1 1
"614" 4 1 1 1 2 1 1
"615" 4 1 1 1 1 1 1
"616" 10 1 1 1 1 1 1
"617" 10 1 1 2 2 1 1
"618" 10 1 1 1 1 1 1
"619" 10 1 1 1 1 1 1
"620" 10 1 1 1 1 1 1
"621" 10 1 1 1 1 1 1
"622" 10 1 1 1 1 1 1
"623" 10 1 1 1 1 1 1
"624" 10 1 1 2 1 1 1
"625" 10 1 1 1 1 1 1
"626" 10 1 1 1 1 1 1
"627" 10 1 1 1 1 1 1
"628" 10 1 1 2 1 1 1
"629" 10 1 1 1 1 1 1
"630" 10 1 1 1 1 1 1
"631" 10 1 1 1 1 1 1
"632" 10 1 1 1 2 1 1
"633" 10 1 1 2 1 1 1
"634" 10 1 1 3 1 1 1
"635" 10 1 1 1 1 1 1
"636" 10 1 1 1 2 1 1
"637" 18 1 1 1 1 1 1
"638" 18 1 1 1 1 1 1
"639" 14 1 1 1 1 1 1
"640" 14 1 1 1 1 1 1
"641" 14 1 1 1 2 1 1
"642" 18 1 2 1 2 1 2
"643" 18 1 1 1 1 1 1
"644" 18 1 1 2 1 1 1
"645" 14 1 1 1 2 1 1
"646" 14 1 1 1 1 1 1
"647" 14 1 1 1 1 1 1
"648" 14 1 1 1 1 1 1
"649" 14 1 1 1 1 1 2
"650" 14 1 1 1 1 1 1
"651" 14 1 1 1 1 1 1
"652" 14 2 1 1 2 3 3
"653" 14 1 1 1 1 1 1
"654" 18 1 1 1 1 1 1
"655" 14 1 1 1 1 1 1
"656" 14 1 1 1 1 1 1
"657" 14 1 1 1 1 1 1
"658" 18 1 1 1 4 1 1
"659" 14 1 1 1 1 1 1
"660" 14 1 1 1 1 1 1
"661" 18 1 1 1 1 1 1
"662" 18 1 1 1 1 1 1
"663" 18 1 1 1 1 1 1
"664" 18 1 1 1 1 1 1
"665" 27 1 1 3 2 1 2
"667" 27 1 1 1 1 1 1
"668" 27 1 1 1 1 1 1
"669" 27 1 1 1 1 1 2
"670" 27 1 1 1 1 1 1
"671" 27 1 1 1 1 1 1
"672" 27 1 1 5 3 3 2
"673" 27 1 1 1 2 1 1
"674" 27 1 2 4 3 1 1
"675" 27 1 1 1 1 1 1
"678" 27 1 1 1 1 1 1
"679" 27 1 1 1 1 1 1
"680" 27 1 1 1 1 1 1
"681" 27 1 1 2 2 3 2
"682" 27 1 1 3 1 1 1
"683" 27 1 1 1 1 1 1
"684" 27 1 2 1 1 1 1
"685" 27 1 1 1 1 1 1
"686" 27 1 1 1 1 1 1
"687" 12 1 1 1 1 1 1
"688" 12 1 1 1 1 1 1
"689" 12 1 1 1 1 1 1
"690" 12 1 2 1 4 2 2
"691" 12 1 1 1 1 1 1
"693" 12 1 1 1 1 1 1
"694" 12 1 1 1 1 2 3
"695" 12 1 1 1 1 5 1
"696" 12 1 1 2 1 1 1
"697" 12 1 1 1 1 1 1
"698" 12 1 1 2 2 1 2
"699" 12 1 1 3 1 3 1
"700" 12 1 1 1 1 1 1
"701" 12 1 1 1 1 1 1
"702" 12 1 1 1 1 1 1
"703" 12 1 1 3 1 1 1
"704" 12 1 2 2 1 2 2
"705" 12 1 1 1 1 1 1
"706" 12 2 2 3 3 3 3
"707" 12 1 1 1 1 1 1
"708" 12 1 1 1 1 1 1
"709" 12 1 1 1 1 1 1
"710" 3 1 1 1 1 1 1
"711" 3 1 4 1 4 3 4
"712" 3 1 1 1 1 1 1
"713" 3 1 1 2 1 1 1
"714" 3 5 4 4 5 5 4
"715" 3 1 1 1 1 1 1
"716" 3 1 1 1 3 1 1
"717" 3 1 2 3 1 1 1
"718" 3 1 1 1 1 1 1
"719" 3 1 1 1 1 1 1
"720" 3 4 2 4 2 2 4
"721" 3 1 1 3 3 2 3
"722" 3 2 5 5 3 3 1
"723" 3 1 1 1 3 5 2
"724" 3 1 1 1 1 1 1
"725" 3 1 1 1 1 1 1
"726" 3 1 1 1 1 1 2
"727" 3 1 1 1 1 1 1
"728" 3 3 3 4 3 3 5
"729" 3 1 1 1 1 1 1
"730" 3 1 1 1 1 1 1
"731" 3 1 1 1 1 1 1
"732" 3 1 1 1 1 1 1
"733" 3 1 3 1 1 2 3
"734" 26 1 1 1 1 1 1
"735" 26 1 1 1 1 1 3
"736" 7 1 1 1 1 1 1
"737" 26 1 1 1 3 1 1
"738" 7 1 1 1 1 1 1
"739" 26 1 1 3 5 1 5
"740" 7 1 3 3 4 3 3
"741" 26 1 1 1 1 1 1
"742" 7 1 1 1 1 1 1
"743" 26 1 1 1 1 1 1
"744" 7 1 1 1 1 1 2
"745" 26 1 3 2 1 1 3
"746" 26 1 1 1 1 4 2
"747" 28 1 1 1 3 1 1
"748" 28 1 1 1 2 1 1
"749" 28 1 1 1 1 1 1
"750" 28 1 1 1 1 1 2
"751" 28 1 1 1 1 1 1
"752" 28 1 1 1 1 1 1
"753" 28 1 1 2 3 2 2
"754" 28 1 1 1 1 1 1
"755" 28 2 1 2 2 1 2
"756" 28 1 1 1 1 1 1
"757" 28 1 1 1 3 1 1
"758" 28 1 1 2 1 1 1
"759" 28 1 1 1 1 1 1
"760" 28 1 1 1 1 1 1
"761" 28 1 2 2 3 2 2
"762" 28 1 1 1 1 1 1
"763" 28 1 1 1 1 1 1
"764" 28 1 1 1 1 1 1
"765" 28 4 1 1 3 1 5
"766" 28 1 2 1 2 1 2
"767" 28 3 1 2 3 3 3
"768" 28 1 1 1 1 1 1
"769" 28 1 1 2 1 1 1
"770" 28 1 1 1 2 1 1
"771" 28 1 1 1 1 5 1
"772" 28 1 5 2 3 1 1
"773" 1 1 1 1 1 1 3
"774" 1 1 1 1 1 1 1
"775" 1 1 1 1 1 1 1
"776" 1 1 1 2 3 1 1
"777" 1 1 1 1 1 1 2
"778" 1 1 1 1 5 2 1
"779" 1 1 1 1 1 1 1
"780" 1 1 1 1 2 1 1
"781" 1 1 1 1 1 1 1
"782" 1 1 1 1 1 1 1
"783" 1 1 1 1 1 1 1
"784" 1 1 1 1 1 1 1
"785" 1 1 1 1 1 1 1
"786" 1 1 1 1 1 1 1
