school	galo	advice	feduc	meduc
43	108	4	4	1
43	118	5	5	1
43	115	4	3	3
43	119	5	5	7
43	76	2	7	5
43	113	4	7	7
43	106	4	9	7
43	109	4	1	1
43	104	2	2	1
43	109	2	1	1
43	122	5	6	5
43	118	5	5	3
43	104	4	9	9
43	91	2	6	1
43	105	4	6	5
43	104	2	3	5
43	98	4	5	5
43	105	4	7	1
43	85	1	5	6
43	133	6	7	5
43	114	5	5	6
43	95	2	7	5
44	76	2	3	1
44	99	2	3	1
44	102	2	3	1
44	104	4	1	3
44	110	4	5	1
44	100	2	6	6
44	89	2	2	1
44	100	4	2	1
44	91	1	1	1
44	76	1	1	1
44	96	2	1	1
44	81	2	1	1
45	104	2	5	1
45	109	4	6	6
45	101	4	9	7
45	77	2	2	1
45	94	4	3	1
45	97	4	7	5
45	87	2	5	3
45	106	2	2	1
45	94	2	1	1
45	103	2	7	6
46	110	5	1	5
46	101	2	7	7
46	94	2	3	4
46	100	2	1	4
46	89	2	3	1
46	104	4	4	3
46	96	2	1	1
46	104	4	7	4
47	126	6	2	1
47	97	2	6	5
47	104	5	1	1
47	88	2	2	1
47	80	2	1	1
47	112	5	5	3
47	119	5	4	1
47	111	4	2	1
47	102	2	6	4
47	73	2	4	1
47	113	5	4	4
47	103	2	1	1
47	96	2	2	3
47	102	2	3	2
47	109	5	7	6
47	98	2	1	3
47	85	2	2	3
47	101	2	4	1
47	82	2	1	1
47	138	6	5	3
47	108	4	1	1
47	101	2	1	1
47	98	2	1	1
47	70	2	2	1
47	75	2	2	1
47	115	5	5	5
47	104	2	4	1
47	106	4	7	7
47	114	5	5	5
48	105	2	6	5
48	113	4	6	5
48	91	2	3	1
48	123	5	6	1
48	143	6	8	6
48	134	6	8	5
48	125	6	7	7
48	119	4	3	3
48	116	4	5	1
48	119	5	7	1
48	114	4	7	1
48	117	5	3	3
48	126	5	4	5
48	103	2	5	1
48	92	2	3	3
48	101	2	3	3
48	111	4	5	1
48	93	2	2	5
48	117	5	6	5
48	119	5	5	1
48	94	2	9	7
48	108	4	4	6
48	114	5	3	6
48	103	2	5	1
48	111	2	1	3
48	103	4	1	1
49	99	2	2	1
49	100	2	2	1
49	98	2	3	1
49	101	2	1	1
49	109	4	6	3
49	95	2	1	1
49	116	5	2	5
49	115	5	2	1
49	106	4	1	1
49	102	2	2	5
49	120	5	6	3
50	101	2	6	4
50	93	2	1	2
50	99	2	7	3
50	87	2	5	5
50	118	5	7	5
50	110	4	3	3
50	118	5	6	5
50	92	2	2	2
50	119	5	5	5
50	123	5	5	5
50	98	2	5	5
50	100	2	8	7
50	98	2	9	8
50	102	2	5	2
50	93	2	5	5
50	95	2	3	1
50	122	5	3	6
50	112	4	4	5
50	87	2	3	5
50	94	2	5	5
50	91	2	3	3
50	95	2	1	1
50	92	2	7	7
50	111	5	5	5
50	86	2	5	5
50	86	2	3	1
50	90	2	3	3
50	112	5	7	3
50	93	2	2	2
50	94	2	4	1
50	116	5	7	5
50	103	2	6	7
50	79	2	6	5
50	93	2	2	1
50	98	2	4	5
50	118	5	2	1
50	101	2	3	3
50	116	5	5	5
50	116	5	9	6
50	109	4	7	5
51	101	4	7	5
51	131	6	8	5
51	102	4	6	5
51	109	4	5	1
51	124	5	8	6
51	108	4	5	3
51	77	2	2	1
51	92	2	6	1
51	104	4	6	1
51	108	4	6	1
51	127	6	5	1
51	108	4	9	2
51	118	5	7	7
51	103	4	9	8
51	126	6	9	6
51	110	4	5	5
51	119	5	5	5
51	131	6	9	7
51	116	5	5	7
51	97	2	7	3
52	118	5	3	5
52	106	4	5	1
52	113	4	3	2
52	104	4	1	1
52	77	2	1	1
52	100	2	1	1
52	95	2	5	3
52	112	4	4	1
52	91	2	7	5
52	109	4	3	6
52	83	2	3	3
52	119	5	3	3
52	94	2	7	7
52	89	2	2	1
52	88	2	2	2
52	81	2	1	1
52	125	5	5	5
52	94	2	1	1
52	102	2	5	2
52	100	4	6	3
52	114	4	1	1
52	98	2	5	3
52	89	2	5	3
53	86	2	1	1
53	95	2	1	2
53	89	2	3	3
53	101	2	2	1
53	79	2	3	3
53	101	2	3	3
53	99	2	1	1
53	105	4	4	3
53	94	2	5	1
53	100	2	1	1
53	91	2	3	1
53	95	2	1	1
53	100	2	5	1
53	102	5	3	1
53	75	2	6	1
53	117	5	1	3
53	117	4	8	5
53	95	2	3	1
53	103	2	6	3
53	90	2	4	5
53	103	2	4	5
53	114	2	4	3
54	103	2	2	1
54	112	4	8	5
54	76	2	3	1
54	103	2	7	7
54	89	2	3	1
54	92	2	1	1
54	60	2	5	3
54	100	2	6	5
54	109	4	1	1
54	86	2	1	1
54	83	2	6	1
54	115	5	5	3
54	93	2	1	1
54	119	5	7	6
54	77	2	3	1
54	95	2	8	2
54	117	5	5	5
54	85	2	7	4
54	85	2	1	1
54	97	2	6	3
54	105	4	2	1
54	92	2	1	1
54	91	2	6	1
54	85	2	4	1
54	106	4	7	7
54	101	2	5	1
55	121	6	4	1
55	125	5	8	7
55	127	6	7	5
55	111	5	9	7
55	110	2	3	1
55	96	2	4	3
55	103	4	9	7
55	109	5	7	4
55	100	2	5	5
55	117	5	8	5
55	113	5	6	3
55	109	5	5	5
55	93	2	3	5
55	121	5	9	5
55	114	5	6	6
55	113	5	5	7
55	125	6	9	9
55	119	5	8	5
55	106	4	7	5
55	105	2	8	7
55	94	2	2	1
55	110	4	2	1
55	89	2	7	5
55	125	6	8	7
55	107	4	1	1
55	125	6	7	7
55	116	5	7	5
55	109	4	6	5
55	133	6	8	1
56	99	4	5	5
56	106	4	7	6
56	101	2	5	3
56	123	5	5	5
56	114	5	7	1
56	103	4	7	5
56	119	5	4	4
56	94	2	6	5
56	98	2	5	1
56	109	4	1	1
56	93	2	7	4
56	132	6	9	7
56	93	2	5	1
56	88	2	3	1
56	88	2	5	1
56	118	5	7	5
56	102	4	7	1
56	108	5	7	7
56	98	4	5	5
56	96	2	7	5
56	95	2	2	1
56	85	2	5	5
56	116	5	4	5
56	121	5	7	3
56	104	4	7	1
57	86	2	1	1
57	87	2	3	2
57	82	2	1	1
57	77	1	1	1
57	81	1	1	1
57	72	1	1	1
57	90	2	2	2
57	99	2	2	1
57	84	2	1	1
57	81	1	3	2
57	76	1	1	1
57	85	1	1	1
57	101	2	1	1
57	115	4	3	1
57	101	2	1	1
57	100	2	1	1
57	102	2	1	1
58	111	4	2	1
58	113	4	5	5
58	62	1	5	5
58	116	5	7	5
58	125	6	7	6
58	133	6	7	6
58	94	2	2	5
58	95	2	1	1
58	91	2	7	5
58	73	2	7	5
58	129	6	8	6
58	88	1	7	6
58	86	2	3	1
58	114	4	3	3
58	76	2	3	3
58	126	6	7	6
58	88	2	1	1
58	110	4	4	5
58	110	2	7	7
58	91	2	5	1
58	100	2	3	5
58	103	2	4	1
58	105	4	5	1
58	101	2	8	3
58	111	4	4	3
58	118	5	8	1
58	70	1	3	3
58	126	6	2	1
58	107	4	3	3
58	93	2	9	6
58	132	6	9	9
58	71	1	7	1
